term,frequency,total,idf
summari,55,4074,4.3050474115542805
git,278,4074,2.684759483096114
smooth,3,4074,7.213768308118642
sort,50,4074,4.400357591358605
cookbook,5,4074,6.70294268435265
beta,32,4074,4.846644693987025
tbu,3,4074,7.213768308118642
todostateenum,6,4074,6.520621127558696
jsdom,3,4074,7.213768308118642
runners.docker.servic,2,4074,7.619233416226805
best,59,4074,4.234843152881032
epiclist.ep,6,4074,6.520621127558696
closer,2,4074,7.619233416226805
tbd,3,4074,7.213768308118642
promot,35,4074,4.757032535297338
heavi,5,4074,6.70294268435265
correctli,2,4074,7.619233416226805
gitop,8,4074,6.2329390551069155
diffpositioninput,6,4074,6.520621127558696
siem,2,4074,7.619233416226805
trade,2,4074,7.619233416226805
finish,17,4074,5.4791672527305355
fine,5,4074,6.70294268435265
epic.currentusertodo,6,4074,6.520621127558696
find,117,4074,3.550206661988995
project.mergerequest,6,4074,6.520621127558696
tar,6,4074,6.520621127558696
incidentmanagementoncallrotationconnect,6,4074,6.520621127558696
//localhost,5,4074,6.70294268435265
tag,80,4074,3.9303539621128696
cibuildneedconnect,6,4074,6.520621127558696
pipelin,210,4074,2.9652730660692823
instanti,3,4074,7.213768308118642
tab,16,4074,5.53979187454697
track,81,4074,3.9179314421143125
inher,3,4074,7.213768308118642
trace,34,4074,4.78602007217059
mutation.destroynot,6,4074,6.520621127558696
designversionedg,6,4074,6.520621127558696
directli,13,4074,5.7474312393252145
coverag,32,4074,4.846644693987025
loss/backup,3,4074,7.213768308118642
rhel,6,4074,6.520621127558696
grafana,33,4074,4.815873035320271
runners.machin,8,4074,6.2329390551069155
side,23,4074,5.176886380857601
essenti,3,4074,7.213768308118642
mutation.pipelineretri,6,4074,6.520621127558696
epicfilt,6,4074,6.520621127558696
checklist,5,4074,6.70294268435265
notebook,5,4074,6.70294268435265
mitig,6,4074,6.520621127558696
repositoryblob,6,4074,6.520621127558696
linear,3,4074,7.213768308118642
deliveri,6,4074,6.520621127558696
multi,73,4074,4.02192115563836
troubl,2,4074,7.619233416226805
monitor,154,4074,3.2754279943731217
packagetagconnect,6,4074,6.520621127558696
file,357,4074,2.434644815007112
kubeconfig,2,4074,7.619233416226805
relat,144,4074,3.3425672972107505
depth,9,4074,6.115156019450532
virtual,17,4074,5.4791672527305355
alertmanagementhttpintegr,6,4074,6.520621127558696
foreign,6,4074,6.520621127558696
okta,15,4074,5.604330395684541
collaps,15,4074,5.604330395684541
cleanup,16,4074,5.53979187454697
veri,19,4074,5.3679416176203105
choic,32,4074,4.846644693987025
lambda,3,4074,7.213768308118642
miscellan,8,4074,6.2329390551069155
timeout,45,4074,4.505718107016431
recovery/data,3,4074,7.213768308118642
mergerequest.currentusertodo,6,4074,6.520621127558696
verb,3,4074,7.213768308118642
rootstoragestatist,6,4074,6.520621127558696
discard,6,4074,6.520621127558696
get,479,4074,2.140679999375836
strive,5,4074,6.70294268435265
geo,113,4074,3.5849927780744104
requirementstatescount,6,4074,6.520621127558696
gem,30,4074,4.911183215124596
sentryerrortag,6,4074,6.520621127558696
releaseevidenceedg,6,4074,6.520621127558696
health,36,4074,4.728861658330641
0.4.3,4,4074,6.926086235666861
heart,3,4074,7.213768308118642
groupconnect,4,4074,6.926086235666861
fresh,5,4074,6.70294268435265
flavor,10,4074,6.009795503792706
maximum,52,4074,4.361136878205324
lock,38,4074,4.674794437060365
namespac,71,4074,4.049700719745435
treeentri,6,4074,6.520621127558696
simul,9,4074,6.115156019450532
heard,3,4074,7.213768308118642
rsync,9,4074,6.115156019450532
gdk,6,4074,6.520621127558696
custodi,6,4074,6.520621127558696
rubular,3,4074,7.213768308118642
ownership,16,4074,5.53979187454697
authorit,3,4074,7.213768308118642
familiar,11,4074,5.914485323988381
gdb,6,4074,6.520621127558696
epic.refer,6,4074,6.520621127558696
zip,5,4074,6.70294268435265
former,6,4074,6.520621127558696
alertmanagementpayloadalertfield,6,4074,6.520621127558696
valid,138,4074,3.3851269116295466
vulnerabilitydetailfileloc,6,4074,6.520621127558696
projectcicdset,6,4074,6.520621127558696
mutation.issuesetep,6,4074,6.520621127558696
process,124,4074,3.492099031181714
switch,44,4074,4.52819096286849
four,2,4074,7.619233416226805
mutation.issuesetiter,6,4074,6.520621127558696
solv,21,4074,5.267858159063328
gcp,9,4074,6.115156019450532
prometheusserviceid,2,4074,7.619233416226805
ciconfigneededg,6,4074,6.520621127558696
miss,29,4074,4.945084766800277
steal,3,4074,7.213768308118642
packagedependencylinkedg,4,4074,6.926086235666861
rate,65,4074,4.137993326891114
releaseedg,6,4074,6.520621127558696
entrytyp,6,4074,6.520621127558696
servicenam,6,4074,6.520621127558696
scrape,5,4074,6.70294268435265
misc,3,4074,7.213768308118642
promis,5,4074,6.70294268435265
ye,16,4074,5.53979187454697
testcas,6,4074,6.520621127558696
occur,7,4074,6.366470447731438
mutation.iterationcr,4,4074,6.926086235666861
settings.ldap,1,4074,8.31238059678675
load,94,4074,3.7690858145167474
domain,64,4074,4.153497513427079
packagetypeenum,6,4074,6.520621127558696
group.containerrepositori,6,4074,6.520621127558696
enum,6,4074,6.520621127558696
json,65,4074,4.137993326891114
pushrul,6,4074,6.520621127558696
gitlaberrortrackingdetailederrorid,6,4074,6.520621127558696
autocomplet,6,4074,6.520621127558696
apart,7,4074,6.366470447731438
vulnerabilityid,6,4074,6.520621127558696
mutation.terraformstatelock,6,4074,6.520621127558696
pipelinesecurityreportfindingedg,6,4074,6.520621127558696
chatop,12,4074,5.827473946998751
docs.gitlab.com,5,4074,6.70294268435265
garbag,22,4074,5.221338143428436
oauth2,31,4074,4.8783933923016045
foss,9,4074,6.115156019450532
query.ciapplicationset,6,4074,6.520621127558696
gap,7,4074,6.366470447731438
mergestatu,4,4074,6.926086235666861
untrustedregexp,6,4074,6.520621127558696
project.dastprofil,4,4074,6.926086235666861
14.1.0,2,4074,7.619233416226805
designmanagementdesignatversionid,6,4074,6.520621127558696
activerecord,21,4074,5.267858159063328
rare,3,4074,7.213768308118642
global.psql.databas,4,4074,6.926086235666861
jiraus,6,4074,6.520621127558696
registri,172,4074,3.164886119973298
mutation.issuesetweight,6,4074,6.520621127558696
sentryerrorcollection.errorstacktrac,6,4074,6.520621127558696
glsprintf,3,4074,7.213768308118642
sitesingl,3,4074,7.213768308118642
blobedg,6,4074,6.520621127558696
gon.gitlab,3,4074,7.213768308118642
reject,13,4074,5.7474312393252145
metricsdashboardannotationconnect,6,4074,6.520621127558696
xattr,3,4074,7.213768308118642
wa,41,4074,4.598808530082443
quickli,18,4074,5.422008838890586
boardissueinput,6,4074,6.520621127558696
prior,15,4074,5.604330395684541
clusteragenttokenedg,6,4074,6.520621127558696
lefthook,3,4074,7.213768308118642
form,13,4074,5.7474312393252145
scale,37,4074,4.701462684142527
fork,53,4074,4.342088683234629
lockabl,3,4074,7.213768308118642
vt,3,4074,7.213768308118642
scala,2,4074,7.619233416226805
remark,2,4074,7.619233416226805
space,27,4074,5.016543730782422
testreportst,6,4074,6.520621127558696
templat,116,4074,3.5587904056803863
cilium,7,4074,6.366470447731438
forc,16,4074,5.53979187454697
format,79,4074,3.9429327443197297
vm,21,4074,5.267858159063328
13.11.0,3,4074,7.213768308118642
precompil,3,4074,7.213768308118642
subkei,3,4074,7.213768308118642
formal,3,4074,7.213768308118642
killer,5,4074,6.70294268435265
mutation.createclusterag,6,4074,6.520621127558696
round,1,4074,8.31238059678675
pipelineconfigsourceenum,6,4074,6.520621127558696
decompress,3,4074,7.213768308118642
print,11,4074,5.914485323988381
adject,3,4074,7.213768308118642
counts.pag,1,4074,8.31238059678675
parenthes,2,4074,7.619233416226805
simpl,42,4074,4.574710978503383
hash.merg,1,4074,8.31238059678675
organiz,3,4074,7.213768308118642
mergerequestreviewer.snippet,6,4074,6.520621127558696
speedscop,3,4074,7.213768308118642
reconfirm,3,4074,7.213768308118642
might,68,4074,4.092872891610645
ux,9,4074,6.115156019450532
group/project,3,4074,7.213768308118642
us,1524,4074,0.9832868605401596
group.epicboard,6,4074,6.520621127558696
adopt,6,4074,6.520621127558696
namespaceid,6,4074,6.520621127558696
walkthrough,18,4074,5.422008838890586
filter,125,4074,3.48406685948445
caching.rb,3,4074,7.213768308118642
ui,52,4074,4.361136878205324
devopsadoptionsnapshotedg,4,4074,6.926086235666861
separ,39,4074,4.6488189506571045
oldest,2,4074,7.619233416226805
ud,2,4074,7.619233416226805
query.querycomplex,4,4074,6.926086235666861
necessari,23,4074,5.176886380857601
usercore.reviewrequestedmergerequest,6,4074,6.520621127558696
parti,19,4074,5.3679416176203105
mutation.createep,6,4074,6.520621127558696
mutation.jiraimportus,6,4074,6.520621127558696
approvalrul,9,4074,6.115156019450532
packagefileregistryedg,6,4074,6.520621127558696
svn,3,4074,7.213768308118642
v3,7,4074,6.366470447731438
drive,3,4074,7.213768308118642
v2,13,4074,5.7474312393252145
v1,8,4074,6.2329390551069155
gitea,3,4074,7.213768308118642
v0,3,4074,7.213768308118642
parameter,3,4074,7.213768308118642
pypimetadata,4,4074,6.926086235666861
tl,57,4074,4.269329328952201
svg,9,4074,6.115156019450532
sourcegraph,6,4074,6.520621127558696
ti,3,4074,7.213768308118642
posix,3,4074,7.213768308118642
mine,2,4074,7.619233416226805
tf,3,4074,7.213768308118642
posit,19,4074,5.3679416176203105
td,6,4074,6.520621127558696
cooki,9,4074,6.115156019450532
referenc,12,4074,5.827473946998751
mix,16,4074,5.53979187454697
repositoryblobedg,6,4074,6.520621127558696
subscript,28,4074,4.980176086611547
mutation.disabledevopsadoptionnamespac,4,4074,6.926086235666861
issueconnect,6,4074,6.520621127558696
string,82,4074,3.905661349522498
mirror,48,4074,4.44117958587886
mit,4,4074,6.926086235666861
soft,6,4074,6.520621127558696
reindex,6,4074,6.520621127558696
yarn1,3,4074,7.213768308118642
groupreleasestat,6,4074,6.520621127558696
rang,27,4074,5.016543730782422
timeboxreportinterfac,6,4074,6.520621127558696
notepermiss,6,4074,6.520621127558696
proxi,61,4074,4.20150673261344
sum,12,4074,5.827473946998751
nomenclatur,5,4074,6.70294268435265
mutation.releasecr,6,4074,6.520621127558696
librari,45,4074,4.505718107016431
bullet,9,4074,6.115156019450532
mid,2,4074,7.619233416226805
sure,48,4074,4.44117958587886
sub,28,4074,4.980176086611547
termin,42,4074,4.574710978503383
fuzz,12,4074,5.827473946998751
cancel,19,4074,5.3679416176203105
assumpt,3,4074,7.213768308118642
13.3.0,3,4074,7.213768308118642
vulnerabilitydetailmarkdown,6,4074,6.520621127558696
reopen,9,4074,6.115156019450532
binari,20,4074,5.31664832323276
query.vulnerabilitiescountbydai,6,4074,6.520621127558696
watermark,3,4074,7.213768308118642
design,99,4074,3.717260746652161
todoableid,6,4074,6.520621127558696
vulnerabilityissuelinkconnect,6,4074,6.520621127558696
nginx,53,4074,4.342088683234629
zoom,9,4074,6.115156019450532
cirunnerstatu,6,4074,6.520621127558696
re,28,4074,4.980176086611547
rd,3,4074,7.213768308118642
runit,7,4074,6.366470447731438
inject,8,4074,6.2329390551069155
mutation.iterationcadencecr,6,4074,6.520621127558696
princip,3,4074,7.213768308118642
packagedependencylink,4,4074,6.926086235666861
commitencod,6,4074,6.520621127558696
pages.en,1,4074,8.31238059678675
satisfi,2,4074,7.619233416226805
volum,24,4074,5.1343267664388055
sso,15,4074,5.604330395684541
qq,2,4074,7.619233416226805
s3,41,4074,4.598808530082443
ssl,42,4074,4.574710978503383
contract,6,4074,6.520621127558696
dastscannerprofileedg,6,4074,6.520621127558696
ssh,117,4074,3.550206661988995
unprotect,17,4074,5.4791672527305355
query.snippet,6,4074,6.520621127558696
.gitlab/stat,3,4074,7.213768308118642
qa,34,4074,4.78602007217059
zone,3,4074,7.213768308118642
unabl,38,4074,4.674794437060365
happen,23,4074,5.176886380857601
conduct,6,4074,6.520621127558696
folk,2,4074,7.619233416226805
queryrecord,6,4074,6.520621127558696
counts.depend,1,4074,8.31238059678675
rake,76,4074,3.98164725650042
dastsitevalidationid,6,4074,6.520621127558696
categories.yml,3,4074,7.213768308118642
agent,27,4074,5.016543730782422
po,6,4074,6.520621127558696
materi,6,4074,6.520621127558696
comput,1,4074,8.31238059678675
pi,7,4074,6.366470447731438
pg,5,4074,6.70294268435265
offic,5,4074,6.70294268435265
digit,9,4074,6.115156019450532
gitlab,2790,4074,0.3785837219713398
move,218,4074,2.927885533997662
shut,3,4074,7.213768308118642
jangosmtp,2,4074,7.619233416226805
untest,2,4074,7.619233416226805
pagerduti,6,4074,6.520621127558696
titl,20,4074,5.31664832323276
easi,9,4074,6.115156019450532
totalenviron,3,4074,7.213768308118642
determinst,3,4074,7.213768308118642
mailjet,2,4074,7.619233416226805
alwai,42,4074,4.574710978503383
mutation.updateimagediffnot,6,4074,6.520621127558696
mem,3,4074,7.213768308118642
elast,18,4074,5.422008838890586
deb/rpm,2,4074,7.619233416226805
unfollow,3,4074,7.213768308118642
iterationwildcardid,6,4074,6.520621127558696
namespace.complianceframework,6,4074,6.520621127558696
repository.branchnam,6,4074,6.520621127558696
solut,58,4074,4.251937586240332
mutation.createannot,6,4074,6.520621127558696
freebsd,10,4074,6.009795503792706
op,6,4074,6.520621127558696
sql,34,4074,4.78602007217059
image.pullsecret,24,4074,5.1343267664388055
connect,184,4074,3.0974448391777654
ok,3,4074,7.213768308118642
cours,3,4074,7.213768308118642
query.group,9,4074,6.115156019450532
usercor,6,4074,6.520621127558696
rough,3,4074,7.213768308118642
addr,3,4074,7.213768308118642
launchctl,2,4074,7.619233416226805
mutation.httpintegrationresettoken,6,4074,6.520621127558696
happi,3,4074,7.213768308118642
rail,126,4074,3.4760986898352733
pipelinepermiss,6,4074,6.520621127558696
epicpermiss,6,4074,6.520621127558696
matrix,6,4074,6.520621127558696
recommend,115,4074,3.567448468423501
instal,487,4074,2.124116473704161
geonode.terraformstateversionregistri,6,4074,6.520621127558696
terraformstateedg,6,4074,6.520621127558696
u2f,3,4074,7.213768308118642
canon,3,4074,7.213768308118642
hashicorp,5,4074,6.70294268435265
nf,9,4074,6.115156019450532
emoji,27,4074,5.016543730782422
cname,3,4074,7.213768308118642
width,3,4074,7.213768308118642
kuberneteslifecyclehttpgethead,1,4074,8.31238059678675
freez,6,4074,6.520621127558696
feishu,2,4074,7.619233416226805
query.instancesecuritydashboard,6,4074,6.520621127558696
random,2,4074,7.619233416226805
mx,3,4074,7.213768308118642
project.label,6,4074,6.520621127558696
remain,8,4074,6.2329390551069155
mr,23,4074,5.176886380857601
mutation.destroysnippet,6,4074,6.520621127558696
alreadi,38,4074,4.674794437060365
award,9,4074,6.115156019450532
encod,24,4074,5.1343267664388055
especi,3,4074,7.213768308118642
vulnerabilitygrad,6,4074,6.520621127558696
yarn,7,4074,6.366470447731438
variabl,200,4074,3.0140632302387145
sever,54,4074,4.323396550222477
mb,3,4074,7.213768308118642
found,42,4074,4.574710978503383
prop,7,4074,6.366470447731438
extravolum,6,4074,6.520621127558696
/help,5,4074,6.70294268435265
incidentmanagementoncallrotationid,6,4074,6.520621127558696
sentenc,8,4074,6.2329390551069155
anchor,18,4074,5.422008838890586
md5,1,4074,8.31238059678675
checksum,15,4074,5.604330395684541
machin,24,4074,5.1343267664388055
offer,18,4074,5.422008838890586
cigroup,6,4074,6.520621127558696
instancesecuritydashboard.project,4,4074,6.926086235666861
citempl,6,4074,6.520621127558696
mutation.todosmarkalldon,6,4074,6.520621127558696
deployment.strategi,6,4074,6.520621127558696
runnerarchitectur,6,4074,6.520621127558696
mutation.boardlistupdatelimitmetr,6,4074,6.520621127558696
mutation.dastprofiledelet,6,4074,6.520621127558696
lazi,14,4074,5.673323267171493
mandatori,4,4074,6.926086235666861
li,2,4074,7.619233416226805
encount,19,4074,5.3679416176203105
gitaly.vers,1,4074,8.31238059678675
lf,51,4074,4.3805549640624255
buffer,6,4074,6.520621127558696
lb,3,4074,7.213768308118642
la,3,4074,7.213768308118642
max,25,4074,5.093504771918551
gravatar,1,4074,8.31238059678675
grown,3,4074,7.213768308118642
prepar,80,4074,3.9303539621128696
minikub,5,4074,6.70294268435265
map,32,4074,4.846644693987025
devop,76,4074,3.98164725650042
proceed,13,4074,5.7474312393252145
query.ciconfig,6,4074,6.520621127558696
lookup,24,4074,5.1343267664388055
mai,102,4074,3.68740778350248
mac,1,4074,8.31238059678675
decis,13,4074,5.7474312393252145
count,44,4074,4.52819096286849
zoho,2,4074,7.619233416226805
userst,6,4074,6.520621127558696
jupyterhub,1,4074,8.31238059678675
frontend,52,4074,4.361136878205324
rails.logg,3,4074,7.213768308118642
enough,9,4074,6.115156019450532
plan,31,4074,4.8783933923016045
variou,51,4074,4.3805549640624255
ka,20,4074,5.31664832323276
deploy,146,4074,3.328773975078415
arrang,3,4074,7.213768308118642
plai,6,4074,6.520621127558696
cycl,6,4074,6.520621127558696
decid,14,4074,5.673323267171493
drill,3,4074,7.213768308118642
sastciconfigurationanalyzersentityconnect,6,4074,6.520621127558696
project.containerrepositori,6,4074,6.520621127558696
webmock,3,4074,7.213768308118642
editor/id,3,4074,7.213768308118642
stateless,3,4074,7.213768308118642
cirunn,6,4074,6.520621127558696
jq,9,4074,6.115156019450532
deploi,170,4074,3.176582159736489
proxybodys,4,4074,6.926086235666861
mutation.mergerequestcr,6,4074,6.520621127558696
proof,3,4074,7.213768308118642
compos,25,4074,5.093504771918551
mittwald.d,2,4074,7.619233416226805
untag,3,4074,7.213768308118642
servic,318,4074,2.5503292140065743
show,68,4074,4.092872891610645
knapsack,2,4074,7.619233416226805
tempt,3,4074,7.213768308118642
compon,113,4074,3.5849927780744104
infomaniak.com,2,4074,7.619233416226805
group,333,4074,2.5042381068063073
regress,3,4074,7.213768308118642
9.6.17,2,4074,7.619233416226805
xmin,2,4074,7.619233416226805
crud,3,4074,7.213768308118642
indent,3,4074,7.213768308118642
k9,3,4074,7.213768308118642
query.us,6,4074,6.520621127558696
iv,2,4074,7.619233416226805
stackprof,3,4074,7.213768308118642
mergerequestreviewerconnect,6,4074,6.520621127558696
memori,46,4074,4.483739200297656
ip,44,4074,4.52819096286849
io,3,4074,7.213768308118642
scanner,32,4074,4.846644693987025
prone,3,4074,7.213768308118642
im,6,4074,6.520621127558696
strict,3,4074,7.213768308118642
diagram,31,4074,4.8783933923016045
enabling/dis,4,4074,6.926086235666861
ii,1,4074,8.31238059678675
increment,25,4074,5.093504771918551
perl,3,4074,7.213768308118642
apach,3,4074,7.213768308118642
networkpolici,4,4074,6.926086235666861
inact,2,4074,7.619233416226805
id,94,4074,3.7690858145167474
syntax,55,4074,4.3050474115542805
programmat,3,4074,7.213768308118642
perf,3,4074,7.213768308118642
pyscopg2,2,4074,7.619233416226805
mergerequestassigne,6,4074,6.520621127558696
give,15,4074,5.604330395684541
pivotaltrack,1,4074,8.31238059678675
futur,19,4074,5.3679416176203105
callout,3,4074,7.213768308118642
time,171,4074,3.1707170402840914
rack,25,4074,5.093504771918551
preced,5,4074,6.70294268435265
elimin,3,4074,7.213768308118642
mutation.vulnerabilityexternalissuelinkdestroi,6,4074,6.520621127558696
valdiat,2,4074,7.619233416226805
categori,23,4074,5.176886380857601
definit,41,4074,4.598808530082443
analyz,38,4074,4.674794437060365
strongmemo,3,4074,7.213768308118642
resourc,188,4074,3.075938633956802
analyt,76,4074,3.98164725650042
branch,138,4074,3.3851269116295466
workaround,10,4074,6.009795503792706
yaml,24,4074,5.1343267664388055
envoi,3,4074,7.213768308118642
troubleshoot,555,4074,1.9934124830403166
blank,8,4074,6.2329390551069155
global.psql.host,4,4074,6.926086235666861
focu,3,4074,7.213768308118642
mutation.releaseassetlinkupd,6,4074,6.520621127558696
snowplow,4,4074,6.926086235666861
ha,131,4074,3.4371832735855996
cntlm,2,4074,7.619233416226805
partit,3,4074,7.213768308118642
clusterag,6,4074,6.520621127558696
classnam,3,4074,7.213768308118642
epicboardedg,6,4074,6.520621127558696
strong,5,4074,6.70294268435265
mario,3,4074,7.213768308118642
mutation.todorestor,6,4074,6.520621127558696
landuyt,3,4074,7.213768308118642
global.gitlabvers,2,4074,7.619233416226805
kubectl,11,4074,5.914485323988381
go,81,4074,3.9179314421143125
mutation.issuesetdued,6,4074,6.520621127558696
gl,21,4074,5.267858159063328
i.,8,4074,6.2329390551069155
creat,757,4074,1.6830173433493023
yum,3,4074,7.213768308118642
actor,8,4074,6.2329390551069155
query.vulnerabilitiescountbydayandsever,2,4074,7.619233416226805
gc,14,4074,5.673323267171493
helper,33,4074,4.815873035320271
mailcow,2,4074,7.619233416226805
compli,3,4074,7.213768308118642
blame,3,4074,7.213768308118642
foo,2,4074,7.619233416226805
contributing.md,2,4074,7.619233416226805
13.9.0,3,4074,7.213768308118642
cunit,3,4074,7.213768308118642
awar,16,4074,5.53979187454697
issuest,6,4074,6.520621127558696
server,152,4074,3.2885000759404748
subtest,3,4074,7.213768308118642
praefect,45,4074,4.505718107016431
phabric,3,4074,7.213768308118642
runnerarchitectureedg,6,4074,6.520621127558696
consist,28,4074,4.980176086611547
ff,4,4074,6.926086235666861
mutation.terraformstatedelet,6,4074,6.520621127558696
libpq,2,4074,7.619233416226805
beginn,6,4074,6.520621127558696
ferreira,3,4074,7.213768308118642
sha,15,4074,5.604330395684541
buildpack,9,4074,6.115156019450532
profil,55,4074,4.3050474115542805
writabl,1,4074,8.31238059678675
primit,3,4074,7.213768308118642
devis,3,4074,7.213768308118642
authent,260,4074,2.751698965771223
last,27,4074,5.016543730782422
schema.org,3,4074,7.213768308118642
transmissionerror,3,4074,7.213768308118642
sudo,10,4074,6.009795503792706
mitmproxi,3,4074,7.213768308118642
currentlicens,6,4074,6.520621127558696
ek,11,4074,5.914485323988381
visit,25,4074,5.093504771918551
settings/logs.md,3,4074,7.213768308118642
devic,10,4074,6.009795503792706
integ,16,4074,5.53979187454697
express,20,4074,5.31664832323276
ee,25,4074,5.093504771918551
ec,5,4074,6.70294268435265
mutation.configuresecretdetect,6,4074,6.520621127558696
demonstr,12,4074,5.827473946998751
drift,3,4074,7.213768308118642
guest,8,4074,6.2329390551069155
pend,10,4074,6.009795503792706
privileg,14,4074,5.673323267171493
devopsadoptionenablednamespaceedg,4,4074,6.926086235666861
cirunneraccesslevel,6,4074,6.520621127558696
plethora,2,4074,7.619233416226805
window,45,4074,4.505718107016431
addition,1,4074,8.31238059678675
full,64,4074,4.153497513427079
counts.mileston,1,4074,8.31238059678675
dastscannerprofileconnect,6,4074,6.520621127558696
designcollectioncopyst,6,4074,6.520621127558696
migrations.log,3,4074,7.213768308118642
dn,38,4074,4.674794437060365
ampintroduct,3,4074,7.213768308118642
issuablesever,6,4074,6.520621127558696
larg,63,4074,4.169245870395218
crossplan,2,4074,7.619233416226805
de,6,4074,6.520621127558696
cron,9,4074,6.115156019450532
packagesdependencylinkid,4,4074,6.926086235666861
db,18,4074,5.422008838890586
travers,6,4074,6.520621127558696
compil,34,4074,4.78602007217059
project.incidentmanagementoncallschedul,6,4074,6.520621127558696
ship,13,4074,5.7474312393252145
set,693,4074,1.771350597596848
cv,3,4074,7.213768308118642
alpha,11,4074,5.914485323988381
irker,6,4074,6.520621127558696
seq,3,4074,7.213768308118642
cirunnersort,6,4074,6.520621127558696
cr,1,4074,8.31238059678675
seo,3,4074,7.213768308118642
written,12,4074,5.827473946998751
blockquot,6,4074,6.520621127558696
cm,2,4074,7.619233416226805
analysi,9,4074,6.115156019450532
easiest,3,4074,7.213768308118642
ci,101,4074,3.6972600799454916
see,248,4074,2.7989518506217688
unauthor,12,4074,5.827473946998751
retain,3,4074,7.213768308118642
housekeep,11,4074,5.914485323988381
sec,3,4074,7.213768308118642
database.vers,1,4074,8.31238059678675
ce,12,4074,5.827473946998751
unlicens,3,4074,7.213768308118642
containerrepositorytag,6,4074,6.520621127558696
regard,20,4074,5.31664832323276
ca,10,4074,6.009795503792706
diffposit,6,4074,6.520621127558696
elasticach,3,4074,7.213768308118642
tweak,2,4074,7.619233416226805
boardlist.issu,6,4074,6.520621127558696
enhanc,9,4074,6.115156019450532
mergerequestnewst,6,4074,6.520621127558696
explicitli,2,4074,7.619233416226805
peopl,10,4074,6.009795503792706
negat,15,4074,5.604330395684541
user.authoredmergerequest,6,4074,6.520621127558696
byebug,3,4074,7.213768308118642
project.snippet,6,4074,6.520621127558696
javax.net.ssl.sslhandshakeexcept,2,4074,7.619233416226805
integrationsprometheusid,4,4074,6.926086235666861
weve,16,4074,5.53979187454697
sdk,4,4074,6.926086235666861
git.vers,1,4074,8.31238059678675
serverless,6,4074,6.520621127558696
embed,16,4074,5.53979187454697
analyzers/tokenizers/filt,3,4074,7.213768308118642
googletest,3,4074,7.213768308118642
designcollection.designatvers,6,4074,6.520621127558696
mergehash,3,4074,7.213768308118642
howev,14,4074,5.673323267171493
named/scop,3,4074,7.213768308118642
known,75,4074,3.9948924832504407
firefox,6,4074,6.520621127558696
jiraservice.project,6,4074,6.520621127558696
milestonestateenum,6,4074,6.520621127558696
query.vulner,6,4074,6.520621127558696
gitaly.clust,1,4074,8.31238059678675
param,3,4074,7.213768308118642
tiff,3,4074,7.213768308118642
aw,38,4074,4.674794437060365
scp,3,4074,7.213768308118642
ar,519,4074,2.0604767136208624
sentryerrorstacktraceentri,6,4074,6.520621127558696
vulnerabilityreporttyp,6,4074,6.520621127558696
begin,34,4074,4.78602007217059
english,3,4074,7.213768308118642
histor,7,4074,6.366470447731438
outgo,16,4074,5.53979187454697
march,3,4074,7.213768308118642
alertmanagementsever,6,4074,6.520621127558696
must,63,4074,4.169245870395218
dastscantypeenum,6,4074,6.520621127558696
administ,17,4074,5.4791672527305355
ak,2,4074,7.619233416226805
activ,94,4074,3.7690858145167474
ag,2,4074,7.619233416226805
scc,2,4074,7.619233416226805
fix,62,4074,4.185246211741659
tier,28,4074,4.980176086611547
ad,215,4074,2.9417425686590883
ancestor,7,4074,6.366470447731438
fip,3,4074,7.213768308118642
iso8601d,6,4074,6.520621127558696
driver,4,4074,6.926086235666861
driven,6,4074,6.520621127558696
userid,6,4074,6.520621127558696
white,3,4074,7.213768308118642
cert,6,4074,6.520621127558696
disclosur,6,4074,6.520621127558696
almost,3,4074,7.213768308118642
drone,3,4074,7.213768308118642
slower,3,4074,7.213768308118642
chart,208,4074,2.974842517085433
todoactionenum,6,4074,6.520621127558696
ajax,3,4074,7.213768308118642
auth.log,3,4074,7.213768308118642
mergerequestassignee.reviewrequestedmergerequest,6,4074,6.520621127558696
land,1,4074,8.31238059678675
mutation.vulnerabilityconfirm,6,4074,6.520621127558696
upon,2,4074,7.619233416226805
alertmanagementhttpintegrationid,6,4074,6.520621127558696
navig,56,4074,4.287028906051602
externalissu,6,4074,6.520621127558696
getters.j,3,4074,7.213768308118642
mutation.updatecomplianceframework,6,4074,6.520621127558696
saw,3,4074,7.213768308118642
disqu,3,4074,7.213768308118642
counts.licens,1,4074,8.31238059678675
bottleneck,3,4074,7.213768308118642
project,712,4074,1.7443026853747754
outer,5,4074,6.70294268435265
pristin,3,4074,7.213768308118642
executor,50,4074,4.400357591358605
and/or,4,4074,6.926086235666861
shed,3,4074,7.213768308118642
san,3,4074,7.213768308118642
virtualbox,4,4074,6.926086235666861
paramsfilteringservic,3,4074,7.213768308118642
approvalprojectrul,3,4074,7.213768308118642
advantag,13,4074,5.7474312393252145
sam,3,4074,7.213768308118642
ciconfigstageedg,6,4074,6.520621127558696
kubecli,3,4074,7.213768308118642
scenario,9,4074,6.115156019450532
yml,3,4074,7.213768308118642
saa,10,4074,6.009795503792706
ambigu,3,4074,7.213768308118642
later,18,4074,5.422008838890586
compress,8,4074,6.2329390551069155
unconstrain,3,4074,7.213768308118642
condit,17,4074,5.4791672527305355
tool,81,4074,3.9179314421143125
jiraimportconnect,6,4074,6.520621127558696
mutation.dismissvulner,2,4074,7.619233416226805
